;Gas cooler;Evaporator;Valve;Compressor;Internal Heat Exchanger;E_D_tot
55;0.03780472191629019;0.01811019789044445;0.09408506650508532;0.10656876741411032;0.06464454801459334;0.1721924375382915
57;0.04117612608865916;0.018356990557906676;0.09057172103658229;0.1057208084206296;0.061096406992184125;0.16882473311582313
59;0.044452907772638744;0.01848804920610469;0.0883109118191968;0.10509660077091744;0.05829475095629351;0.16705348534739695
61;0.047583502618239654;0.018548804298313164;0.08684084711185118;0.1046129068596847;0.05600078412161651;0.1662363953558037
63;0.05054829139446195;0.01856501316325398;0.08590098407195866;0.10422243152200347;0.0540683300933986;0.16601885624741383
65;0.05334345193035117;0.01855199463112722;0.08533484746395874;0.10389692717094202;0.05240424664288738;0.16619363134757323
67;0.055972930623259996;0.018519285924230446;0.08504290211763924;0.10361868866055005;0.05094645448527829;0.16663320088670178
69;0.058444395361102505;0.01847306150100083;0.08495864609789051;0.10337613908182308;0.04965182691705038;0.16725563546933203
71;0.06076713589031918;0.018417449902770198;0.08503578133463603;0.10316142758389205;0.048489306401337;0.1680064029723246
73;0.06295095781582496;0.018355285079939943;0.08524094926464437;0.10296905911542721;0.04743582956242027;0.16884815140252432
75;0.06500559418258718;0.018288554172139482;0.08554941122715848;0.10279507841075496;0.04647381730056082;0.16975469376761337
77;0.06694039848186871;0.01821867466428147;0.085942368838237;0.10263656518330819;0.04558956978718614;0.17070732041345477
79;0.06876419339277108;0.018146671675444013;0.08640523779308089;0.10249131184663232;0.044772206157300785;0.1716924575947055
81;0.07048520706474824;0.0180732946350891;0.08692650017848132;0.10235761205122952;0.044012941901009996;0.17270013526988942
83;0.07211105886506529;0.01799909597280906;0.08749691874739841;0.10223411865359606;0.043304583900957726;0.1737229580637861
85;0.07364877272600669;0.017924485323668235;0.08810898559282426;0.10211974644961254;0.04264116893602324;0.174755398490055
87;0.07510480536943726;0.017849767559410083;0.08875652660611937;0.10201360437039567;0.04201769947268059;0.17579330196981946
89;0.07648508160316297;0.017775169902061138;0.08943441175963421;0.10191494766803787;0.04142994732799718;0.1768335342488141
